destination,passanger,weather,temperature,time,expiration,gender,age,maritalStatus,has_children,education,occupation,income,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,Y,Bar_ord,CoffeeHouse_ord,CarryAway_ord,RestaurantLessThan20_ord,Restaurant20To50_ord,age_ord,income_ord,education_ord
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,never,less1,4~8,4~8,less1,0,0,0,1,0,1,3,3,1,1,5,4
Home,Alone,Sunny,55,6PM,1d,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,never,less1,4~8,4~8,less1,0,0,1,1,0,1,3,3,1,1,5,4
Work,Alone,Sunny,55,7AM,1d,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,never,less1,4~8,4~8,less1,1,1,0,1,0,1,3,3,1,1,5,4
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,never,4~8,1~3,1~3,never,0,0,0,0,0,3,2,2,0,6,1,2
Home,Alone,Sunny,55,6PM,1d,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,never,4~8,1~3,1~3,never,0,0,1,0,0,3,2,2,0,6,1,2
Work,Alone,Sunny,55,7AM,1d,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,never,4~8,1~3,1~3,never,1,1,0,0,0,3,2,2,0,6,1,2
No Urgent Place,Kid(s),Sunny,80,10AM,1d,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,less1,1~3,1~3,1~3,less1,1,0,0,1,1,2,2,2,1,6,6,4
Home,Alone,Sunny,55,6PM,1d,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,less1,1~3,1~3,1~3,less1,0,0,1,1,1,2,2,2,1,6,6,4
Work,Alone,Sunny,55,7AM,1d,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,less1,1~3,1~3,1~3,less1,1,1,0,1,1,2,2,2,1,6,6,4
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Male,21,Single,0,Associates degree,Student,$12500 - $24999,1~3,less1,1~3,less1,1~3,0,0,0,1,2,1,2,1,2,1,1,3
Home,Alone,Sunny,55,6PM,1d,Male,21,Single,0,Associates degree,Student,$12500 - $24999,1~3,less1,1~3,less1,1~3,0,0,1,1,2,1,2,1,2,1,1,3
Work,Alone,Sunny,55,7AM,1d,Male,21,Single,0,Associates degree,Student,$12500 - $24999,1~3,less1,1~3,less1,1~3,1,1,0,0,2,1,2,1,2,1,1,3
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,1~3,gt8,4~8,1~3,less1,0,0,0,1,2,4,3,2,1,2,4,4
Home,Alone,Sunny,55,6PM,1d,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,1~3,gt8,4~8,1~3,less1,0,0,1,1,2,4,3,2,1,2,4,4
Work,Alone,Sunny,55,7AM,1d,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,1~3,gt8,4~8,1~3,less1,1,1,0,1,2,4,3,2,1,2,4,4
No Urgent Place,Kid(s),Sunny,80,10AM,1d,Female,26,Married partner,1,Some college - no degree,Unemployed,$62500 - $74999,never,less1,gt8,4~8,never,1,0,0,0,0,1,4,3,0,2,5,2
Home,Alone,Sunny,55,6PM,1d,Female,26,Married partner,1,Some college - no degree,Unemployed,$62500 - $74999,never,less1,gt8,4~8,never,0,0,1,0,0,1,4,3,0,2,5,2
Work,Alone,Sunny,55,7AM,1d,Female,26,Married partner,1,Some college - no degree,Unemployed,$62500 - $74999,never,less1,gt8,4~8,never,1,1,0,0,0,1,4,3,0,2,5,2
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Male,26,Single,0,Some college - no degree,Healthcare Support,$37500 - $49999,gt8,gt8,gt8,gt8,gt8,0,0,0,1,4,4,4,4,4,2,3,2
Home,Alone,Sunny,55,6PM,1d,Male,26,Single,0,Some college - no degree,Healthcare Support,$37500 - $49999,gt8,gt8,gt8,gt8,gt8,0,0,1,1,4,4,4,4,4,2,3,2
Work,Alone,Sunny,55,7AM,1d,Male,26,Single,0,Some college - no degree,Healthcare Support,$37500 - $49999,gt8,gt8,gt8,gt8,gt8,1,1,0,1,4,4,4,4,4,2,3,2
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Female,26,Single,1,Associates degree,Healthcare Practitioners & Technical,$25000 - $37499,never,1~3,4~8,1~3,less1,0,0,0,0,0,2,3,2,1,2,2,3
Work,Alone,Sunny,55,7AM,1d,Female,26,Single,1,Associates degree,Healthcare Practitioners & Technical,$25000 - $37499,never,1~3,4~8,1~3,less1,1,1,0,1,0,2,3,2,1,2,2,3
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Male,21,Single,0,Some college - no degree,Sales & Related,$100000 or More,less1,never,gt8,1~3,less1,0,0,0,0,1,0,4,2,1,1,8,2
Home,Alone,Sunny,55,6PM,1d,Male,21,Single,0,Some college - no degree,Sales & Related,$100000 or More,less1,never,gt8,1~3,less1,0,0,1,1,1,0,4,2,1,1,8,2
Work,Alone,Sunny,55,7AM,1d,Male,21,Single,0,Some college - no degree,Sales & Related,$100000 or More,less1,never,gt8,1~3,less1,1,1,0,0,1,0,4,2,1,1,8,2
No Urgent Place,Partner,Sunny,80,10AM,2h,Female,21,Unmarried partner,0,Bachelors degree,Management,$87500 - $99999,1~3,1~3,1~3,1~3,1~3,0,0,0,0,2,2,2,2,2,1,7,4
No Urgent Place,Partner,Sunny,80,6PM,1d,Female,21,Unmarried partner,0,Bachelors degree,Management,$87500 - $99999,1~3,1~3,1~3,1~3,1~3,1,0,0,1,2,2,2,2,2,1,7,4
Home,Alone,Sunny,55,6PM,1d,Female,21,Unmarried partner,0,Bachelors degree,Management,$87500 - $99999,1~3,1~3,1~3,1~3,1~3,0,0,1,1,2,2,2,2,2,1,7,4
Work,Alone,Sunny,55,7AM,1d,Female,21,Unmarried partner,0,Bachelors degree,Management,$87500 - $99999,1~3,1~3,1~3,1~3,1~3,1,1,0,1,2,2,2,2,2,1,7,4
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Female,21,Single,0,High School Graduate,Unemployed,Less than $12500,1~3,never,4~8,1~3,less1,0,0,0,1,2,0,3,2,1,1,0,1
Home,Alone,Sunny,55,6PM,1d,Female,21,Single,0,High School Graduate,Unemployed,Less than $12500,1~3,never,4~8,1~3,less1,0,0,1,1,2,0,3,2,1,1,0,1
Work,Alone,Sunny,55,7AM,1d,Female,21,Single,0,High School Graduate,Unemployed,Less than $12500,1~3,never,4~8,1~3,less1,1,1,0,0,2,0,3,2,1,1,0,1
