destination,passanger,weather,temperature,time,expiration,gender,age,maritalStatus,has_children,education,occupation,income,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,Y,Bar_ord,CoffeeHouse_ord,CarryAway_ord,RestaurantLessThan20_ord,Restaurant20To50_ord,age_ord,income_ord,education_ord,Cluster,PC1,PC2
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,never,less1,4~8,4~8,less1,0,0,0,1,0,1,3,3,1,1,5,4,3,0.17997459425007528,0.30591561368013104
Home,Alone,Sunny,55,6PM,1d,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,never,less1,4~8,4~8,less1,0,0,1,1,0,1,3,3,1,1,5,4,3,0.17997459425007528,0.30591561368013104
Work,Alone,Sunny,55,7AM,1d,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,never,less1,4~8,4~8,less1,1,1,0,1,0,1,3,3,1,1,5,4,3,0.17997459425007528,0.30591561368013104
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,never,4~8,1~3,1~3,never,0,0,0,0,0,3,2,2,0,6,1,2,1,-1.2377419618731194,-0.5890464919176625
Home,Alone,Sunny,55,6PM,1d,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,never,4~8,1~3,1~3,never,0,0,1,0,0,3,2,2,0,6,1,2,1,-1.2377419618731194,-0.5890464919176625
Work,Alone,Sunny,55,7AM,1d,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,never,4~8,1~3,1~3,never,1,1,0,0,0,3,2,2,0,6,1,2,1,-1.2377419618731194,-0.5890464919176625
No Urgent Place,Kid(s),Sunny,80,10AM,1d,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,less1,1~3,1~3,1~3,less1,1,0,0,1,1,2,2,2,1,6,6,4,3,-0.24246629515155418,1.5540682882740573
Home,Alone,Sunny,55,6PM,1d,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,less1,1~3,1~3,1~3,less1,0,0,1,1,1,2,2,2,1,6,6,4,3,-0.24246629515155418,1.5540682882740573
Work,Alone,Sunny,55,7AM,1d,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,less1,1~3,1~3,1~3,less1,1,1,0,1,1,2,2,2,1,6,6,4,3,-0.24246629515155418,1.5540682882740573
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Male,21,Single,0,Associates degree,Student,$12500 - $24999,1~3,less1,1~3,less1,1~3,0,0,0,1,2,1,2,1,2,1,1,3,2,-0.5193433336762666,-1.1676906003334102
Home,Alone,Sunny,55,6PM,1d,Male,21,Single,0,Associates degree,Student,$12500 - $24999,1~3,less1,1~3,less1,1~3,0,0,1,1,2,1,2,1,2,1,1,3,2,-0.5193433336762666,-1.1676906003334102
Work,Alone,Sunny,55,7AM,1d,Male,21,Single,0,Associates degree,Student,$12500 - $24999,1~3,less1,1~3,less1,1~3,1,1,0,0,2,1,2,1,2,1,1,3,2,-0.5193433336762666,-1.1676906003334102
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,1~3,gt8,4~8,1~3,less1,0,0,0,1,2,4,3,2,1,2,4,4,0,1.1957893134157125,-0.2810266777652954
Home,Alone,Sunny,55,6PM,1d,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,1~3,gt8,4~8,1~3,less1,0,0,1,1,2,4,3,2,1,2,4,4,0,1.1957893134157125,-0.2810266777652954
Work,Alone,Sunny,55,7AM,1d,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,1~3,gt8,4~8,1~3,less1,1,1,0,1,2,4,3,2,1,2,4,4,0,1.1957893134157125,-0.2810266777652954
No Urgent Place,Kid(s),Sunny,80,10AM,1d,Female,26,Married partner,1,Some college - no degree,Unemployed,$62500 - $74999,never,less1,gt8,4~8,never,1,0,0,0,0,1,4,3,0,2,5,2,2,-0.08144296409244436,-0.6526034482568323
Home,Alone,Sunny,55,6PM,1d,Female,26,Married partner,1,Some college - no degree,Unemployed,$62500 - $74999,never,less1,gt8,4~8,never,0,0,1,0,0,1,4,3,0,2,5,2,2,-0.08144296409244436,-0.6526034482568323
Work,Alone,Sunny,55,7AM,1d,Female,26,Married partner,1,Some college - no degree,Unemployed,$62500 - $74999,never,less1,gt8,4~8,never,1,1,0,0,0,1,4,3,0,2,5,2,2,-0.08144296409244436,-0.6526034482568323
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Male,26,Single,0,Some college - no degree,Healthcare Support,$37500 - $49999,gt8,gt8,gt8,gt8,gt8,0,0,0,1,4,4,4,4,4,2,3,2,0,4.878097603697359,-1.6129477339330205
Home,Alone,Sunny,55,6PM,1d,Male,26,Single,0,Some college - no degree,Healthcare Support,$37500 - $49999,gt8,gt8,gt8,gt8,gt8,0,0,1,1,4,4,4,4,4,2,3,2,0,4.878097603697359,-1.6129477339330205
Work,Alone,Sunny,55,7AM,1d,Male,26,Single,0,Some college - no degree,Healthcare Support,$37500 - $49999,gt8,gt8,gt8,gt8,gt8,1,1,0,1,4,4,4,4,4,2,3,2,0,4.878097603697359,-1.6129477339330205
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Female,26,Single,1,Associates degree,Healthcare Practitioners & Technical,$25000 - $37499,never,1~3,4~8,1~3,less1,0,0,0,0,0,2,3,2,1,2,2,3,2,-0.3450872872296677,-0.7564889362688719
Work,Alone,Sunny,55,7AM,1d,Female,26,Single,1,Associates degree,Healthcare Practitioners & Technical,$25000 - $37499,never,1~3,4~8,1~3,less1,1,1,0,1,0,2,3,2,1,2,2,3,2,-0.3450872872296677,-0.7564889362688719
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Male,21,Single,0,Some college - no degree,Sales & Related,$100000 or More,less1,never,gt8,1~3,less1,0,0,0,0,1,0,4,2,1,1,8,2,3,0.09316101610248825,-0.16797892507859796
Home,Alone,Sunny,55,6PM,1d,Male,21,Single,0,Some college - no degree,Sales & Related,$100000 or More,less1,never,gt8,1~3,less1,0,0,1,1,1,0,4,2,1,1,8,2,3,0.09316101610248825,-0.16797892507859796
Work,Alone,Sunny,55,7AM,1d,Male,21,Single,0,Some college - no degree,Sales & Related,$100000 or More,less1,never,gt8,1~3,less1,1,1,0,0,1,0,4,2,1,1,8,2,3,0.09316101610248825,-0.16797892507859796
No Urgent Place,Partner,Sunny,80,10AM,2h,Female,21,Unmarried partner,0,Bachelors degree,Management,$87500 - $99999,1~3,1~3,1~3,1~3,1~3,0,0,0,0,2,2,2,2,2,1,7,4,3,0.8230219100757018,0.6088987583250113
No Urgent Place,Partner,Sunny,80,6PM,1d,Female,21,Unmarried partner,0,Bachelors degree,Management,$87500 - $99999,1~3,1~3,1~3,1~3,1~3,1,0,0,1,2,2,2,2,2,1,7,4,3,0.8230219100757018,0.6088987583250113
Home,Alone,Sunny,55,6PM,1d,Female,21,Unmarried partner,0,Bachelors degree,Management,$87500 - $99999,1~3,1~3,1~3,1~3,1~3,0,0,1,1,2,2,2,2,2,1,7,4,3,0.8230219100757018,0.6088987583250113
Work,Alone,Sunny,55,7AM,1d,Female,21,Unmarried partner,0,Bachelors degree,Management,$87500 - $99999,1~3,1~3,1~3,1~3,1~3,1,1,0,1,2,2,2,2,2,1,7,4,3,0.8230219100757018,0.6088987583250113
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Female,21,Single,0,High School Graduate,Unemployed,Less than $12500,1~3,never,4~8,1~3,less1,0,0,0,1,2,0,3,2,1,1,0,1,2,-0.5704867764266283,-2.458462687804667
Home,Alone,Sunny,55,6PM,1d,Female,21,Single,0,High School Graduate,Unemployed,Less than $12500,1~3,never,4~8,1~3,less1,0,0,1,1,2,0,3,2,1,1,0,1,2,-0.5704867764266283,-2.458462687804667
Work,Alone,Sunny,55,7AM,1d,Female,21,Single,0,High School Graduate,Unemployed,Less than $12500,1~3,never,4~8,1~3,less1,1,1,0,0,2,0,3,2,1,1,0,1,2,-0.5704867764266283,-2.458462687804667
No Urgent Place,Kid(s),Sunny,80,10AM,1d,Female,31,Married partner,1,Graduate degree (Masters or Doctorate),Unemployed,$62500 - $74999,never,less1,1~3,less1,less1,1,0,0,0,0,1,2,1,1,3,5,5,3,-1.399027742546398,1.339458671315463
Home,Alone,Sunny,55,6PM,1d,Female,31,Married partner,1,Graduate degree (Masters or Doctorate),Unemployed,$62500 - $74999,never,less1,1~3,less1,less1,0,0,1,1,0,1,2,1,1,3,5,5,3,-1.399027742546398,1.339458671315463
Work,Alone,Sunny,55,7AM,1d,Female,31,Married partner,1,Graduate degree (Masters or Doctorate),Unemployed,$62500 - $74999,never,less1,1~3,less1,less1,1,1,0,0,0,1,2,1,1,3,5,5,3,-1.399027742546398,1.339458671315463
